Article_Code,Article_Name,Buyer_Reference,Article_Category
F0000014,"RG-088-POLYESTER 65% COTTON CANVAS 35%-DWR-P/D+BIONIC@RUDOLF DWR ,(21S+21S)x10S/72x36, 270G/M2, 57/58INCH",,Textiles/Fabric
F0000015,19087-POLYESTER 100%-210T TAFFETA-57INCH,,Textiles/Fabric
F0000016,"00617-P95313-POLYESTER RECYCLED YARN 100%-WR C0-. WIDTH 58/59""",,Textiles/Fabric
F0000017,".-P27830-POLYESTER VIRGIN YARN 100%-WR C0 DIGITAL PRINTING-VIRGIN YARN 57/58""",,Textiles/Fabric
F0000018,".-P145401-POLYESTER 100%- WIDTH 62/63""-.",,Textiles/Fabric
F0000019,.-RKRE 8092-RECYCLED POLYESTER 100%-.-.,,Textiles/Fabric
F0000020,4WT1232-NYLON 88% SPANDEX 12%-DWR-4-WAYS STRETCH-PD+W/R 158GSM 56/57INCH,,Textiles/Fabric
F0000021,4WT129256(C0)-NYLON 96% ELASTANE 4%-DWR-4-WAYS STRETCH-TWILL (210D+40D)X(210+40D)/117X76 P/D+DWR 80/10 315GSM 57INCH,,Textiles/Fabric
F0000022,.-4WP3241-POLYESTER 77% COTTON 15% SPANDEX 8%-C0 DW/R (80/10)-4-WAY STRETCH SLUB,,Textiles/Fabric
F0000023,4WSLB165-POLYESTER 82% COTTON 10% SPANDEX 8%-DWR C0(NON-BRAND)-4-WAY STRETCH SLUB-P/D+DWR C0 165GSM 57/58INCH,,Textiles/Fabric
F0000024,FJB002-NYLON 90% SPANDEX 10%-C0 DW/R (80/10)-57INCH,,Textiles/Fabric
F0000025,MESH-POLYESTER 100%-61INCH,,Textiles/Fabric
F0000026,WVM0102-.-POLYESTER 91% SPANDEX 9%-.-WOVEN STRETCH HEATHER,,Textiles/Fabric
F0000027,WVM0117-.-POLYESTER 91% SPANDEX 9%-.-WOVEN STRETCH HEATHER,,Textiles/Fabric
F0000028,WVM0020-.-COTTON 54% POLYESTER 44% SPANDEX 2%-.-DOCK DRIFIT CROSSDYE WOVEN STRETCH - SHELL,,Textiles/Fabric
F0000029,WVM0304-.-COTTON 70% POLYESTER 22% SPANDEX 8%-.-2-WAY STRETCH WOVEN SLUB-SHELL,,Textiles/Fabric
F0000030,WVM0014-.-COTTON 73% POLYESTER 25% SPANDEX 2%-.-.,,Textiles/Fabric
F0000031,TC 80/20 - 1-.-POLYESTER 80% COTTON 20%-.-.,,Textiles/Fabric
F0000032,AW17005-66404-POLYESTER 100%-SOLID WITHOUT C0-. WIDTH 58INCH,,Textiles/Fabric
F0000033,AW17025-66404-POLYESTER 100%-SOLID WITH C0 DWR-WIDTH 58INCH,,Textiles/Fabric
F0000034,AW22550-45RY-PP899-POLYESTER 55% RPET 45%-SOLID C0 DWR(80/10)-. WIDTH 58INCH,,Textiles/Fabric
F0000035,AW22540-45RY-PP1018-POLYESTER 55% RPET 45%-SOLID C0 DWR 80/10 +TPU 10K/10K + REFLECTIVE COATING PRINT BASE ON PP1299-2L TECH STRETCH REPREVE WIDTH 58INCH,,Textiles/Fabric
F0000036,AW21550 NEW-45RY-PP1018-POLYESTER 55% RECYCLED POLY REPREVE 45%-SOLID C0 DWR(80/10)-. WIDTH 58INCH,,Textiles/Fabric
F0000037,AW21543-KNX1965-A-POLYESTER 80% ELASTANE 20%-.-. WIDTH 56INCH,,Textiles/Fabric
F0000038,AW12250 NEW-KNK205-POLYESTER 85% ELASTANE 15%-.-. WIDTH 56INCH,,Textiles/Fabric
F0000039,AW13271 NEW-KNX1894-POLYESTER 100%-.-. WIDTH 58INCH,,Textiles/Fabric
F0000040,AW21547-N1216+20D-NYLON 100%-P/D+TEFLON(80/10)+10K/10K DOT MILKY LAMINATION BONDED WITH NYLON TRICOT-. WIDTH 55INCH,,Textiles/Fabric
F0000041,AW21001-RYK12-RPET (REPREVE) 50% POLYESTER 50%-C0 DWR(80/10) + PEACH-.,,Textiles/Fabric
F0000042,AW21002-RYK12-RPET (REPREVE) 50% POLYESTER 50%-C0 DW/R (80/10)-.,,Textiles/Fabric
F0000043,AW23001-PT1514-POLYESTER 50% RPET (SEAWOOL) 50%-C0 DWR(80/10) + PEACH- SOLID WIDTH 58INCH,,Textiles/Fabric
F0000044,AW23002-PT1514-POLYESTER 50% RPET (SEAWOOL) 50%-C0 DWR(80/10) + PEACH- PRINT WIDTH 58INCH,,Textiles/Fabric
F0000045,AW19007- 4WPC170-RPET (REPREVE) 42% POLYESTER 50% ELASTANE 8% -C0 DW/R (80/10)-POPLIN 4WAY STRETCH-WIDTH 58INCH,,Textiles/Fabric
F0000046,AW19008- 4WPC170-RPET (REPREVE) 42% POLYESTER 50% ELASTANE 8%-C0 DW/R (80/10)-PRINT POPLIN 4WAY STRETCH-WIDTH 58INCH,,Textiles/Fabric
F0000047,AW23007-4WP2104-RPET (SEAWOOL) 40% POLYESTER 50% ELASTANE 10% -C0 DW/R (80/10)-WIDTH 58INCH,,Textiles/Fabric
F0000048,AW21008-50RY-N228T (REPREVE VERSION)-RECYCLED NYLON REPREVE 50% NYLON 50%-C0 DWR(80/10) + PEACH-WIDTH 56INCH,,Textiles/Fabric
F0000049,AW23010-50RY-N228T (SEAWOOL VERSION)-RECYCLED NYLON (SEAWOOL) 50% NYLON 50%-C0 DWR(80/10) + PEACH-WIDTH 56INCH,,Textiles/Fabric
F0000050,AW19524-A181208-CP-POLYESTER 100%-TRIZAR FINISHING-. WIDTH 57INCH,,Textiles/Fabric
F0000051,AW12200-A181208-POLYESTER 100%-.-WIDTH 57INCH,,Textiles/Fabric
F0000052,AP21540-.-RPET (REPREVE) 95% POLYESTER 5%-.-FELLEX REPREVE ECO-HL-U INSULATION 40GSM 152CM 150Y/ROLL,,Textiles/Fabric
F0000053,AP21542-.-RPET (REPREVE) 95% POLYESTER 5%-.-FELLEX REPREVE ECO-HL-U INSULATION 60GSM 152CM 100Y/ROLL,,Textiles/Fabric
F0000054,AP21544-.-RPET (REPREVE) 95% POLYESTER 5%-.-FELLEX REPREVE ECO-HL-U INSULATION 80GSM 152CM 100Y/ROLL,,Textiles/Fabric
F0000055,AP21545-.-RPET (REPREVE) 95% POLYESTER 5%-.-FELLEX REPREVE ECO-HL-U INSULATION 120GSM 152CM 60Y/ROLL,,Textiles/Fabric
F0000056,AP21546-.-RPET (REPREVE) 95% POLYESTER 5%-.-FELLEX REPREVE ECO-HL-U INSULATION 100GSM 152CM 60Y/ROLL,,Textiles/Fabric
F0000057,AP21548-.-RPET (REPREVE) 95% POLYESTER 5%-.-FELLEX REPREVE ECO-HL-U INSULATION 140GSM 152CM 50Y/ROLL,,Textiles/Fabric
F0000058,"AP21550-.-RPET (REPREVE) 100%-.-FELLEX FILL 2-SL, POLY DOWN 2-SL2025KG/ROLL",,Textiles/Fabric
F0000059,AP21560-.-RPET 95% POLYESTER 5%-.-FELLEX P-RN # P-RN INSULATION 40GSM 152CM 150Y/ROLL,,Textiles/Fabric
F0000060,AW18581-.-RPET 50% POLYESTER 50%-.-.,,Textiles/Fabric
F0000061,AW18582-.-RPET 50% POLYESTER 50%-.-ECO - ML PADDING,,Textiles/Fabric
F0000062,AW18583-.-RPET 50% POLYESTER 50%-.-ECO - ML PADDING,,Textiles/Fabric
F0000063,AW18584-.-RPET 50% POLYESTER 50%-.-ECO - ML PADDING,,Textiles/Fabric
F0000064,AW18585-RPET 50% POLYESTER 50%-ECO - ML PADDING,,Textiles/Fabric
F0000065,AW18586-.-RPET 50% POLYESTER 50%-.-ECO - ML PADDING,,Textiles/Fabric
F0000066,AW18587-.-POLYESTER 100%-.-ECO - ML PADDING,,Textiles/Fabric
F0000067,AW18588-.-POLYESTER 100%-.-ECO - ML PADDING,,Textiles/Fabric
F0000068,"UNW0005-JPP20021R-BIO EARTH POLYESTER 100%-DOBBY, PLAIN SEMI-DULL 80GSM WIDTH 57INCH BLACK SOLID DYE",,Textiles/Fabric
F0000069,AW21536 NEW-LNT-20153-945-RPET 42% POLYESTER 28% POLYAMIDE 30%-DWR+HYDROPHILIC BREATHABLE WIDTH 55INCH TPU LAMINATION CROSS DYE VERSION (DOUBLE DYE FOR POLY AND NYLON PART)-.,,Textiles/Fabric
F0000070,AW21534 NEW-LPW-11065-POLYESTER 100%-C0 DWR(80/10) + HYDROPHILIC BREATHABLE TPU LAMINATION-MECH-STRETCH WIDTH 55INCH,,Textiles/Fabric
F0000071,AW21536 SINGLE DYE-LNT-21210-RPET 40% POLYESTER 35% RE-NYLON 25%-C0 DWR (80/10)+HYDROPHILIC TPU DOT LAMINATION 10K WIDTH 54INCH (SINGLE DYE FOR POLY AND NYLON PART)-14021,,Textiles/Fabric
F0000072,AW20503-.-COTTON 100%-PEACH + DWR C0 NANOTEX AQUAPEL-BCI CO WIDTH 56INCH,,Textiles/Fabric
F0000073,AW20533-.-COTTON 100%-.-.,,Textiles/Fabric
F0000074,AP21528-I-2047-RECYCLED CONTENT BIODEGRADEABLE 100%-.-RECYCLED CONTENT BIODEGRADEABLE,,Textiles/Fabric
F0000075,AW22513-83100-POLYESTER-RECYCLED BIODEGRADEABLE 100%-.-HEAVY WGT SHERPA PILE 150CM,,Textiles/Fabric
F0000076,Q2466-RECYCLED POLYESTER 55% POLYESTER 45%-57INCH,,Textiles/Fabric
